UBIGEO,DISTRITO,PROVINCIA,DEPARTAMEN,tmin_mean_total,riesgo,ranking
160305,URARINAS,LORETO,LORETO,22.69943167892157,Bajo Riesgo Heladas,1
160301,NAUTA,LORETO,LORETO,22.706025523190043,Bajo Riesgo Heladas,2
160108,PUNCHANA,MAYNAS,LORETO,22.717701577240565,Bajo Riesgo Heladas,3
160206,LAGUNAS,ALTO AMAZONAS,LORETO,22.745656738281248,Bajo Riesgo Heladas,4
160403,YAVARI,MARISCAL RAMON CASTILLA,LORETO,22.747570878864604,Bajo Riesgo Heladas,5
160104,INDIANA,MAYNAS,LORETO,22.761414683948864,Bajo Riesgo Heladas,6
160801,PUTUMAYO,PUTUMAYO,LORETO,22.77923931782472,Bajo Riesgo Heladas,7
160101,IQUITOS,MAYNAS,LORETO,22.780908203125,Bajo Riesgo Heladas,8
160105,LAS AMAZONAS,MAYNAS,LORETO,22.814834299395162,Bajo Riesgo Heladas,9
160402,PEBAS,MARISCAL RAMON CASTILLA,LORETO,22.87897277333106,Bajo Riesgo Heladas,10
160705,PASTAZA,DATEM DEL MARANON,LORETO,22.919819599873314,Bajo Riesgo Heladas,11
160404,SAN PABLO,MARISCAL RAMON CASTILLA,LORETO,22.934505008627305,Bajo Riesgo Heladas,12
160401,RAMON CASTILLA,MARISCAL RAMON CASTILLA,LORETO,22.972546548045152,Bajo Riesgo Heladas,13
160804,YAGUAS,PUTUMAYO,LORETO,23.00502794989224,Bajo Riesgo Heladas,14
160704,MORONA,DATEM DEL MARANON,LORETO,23.00898028325768,Bajo Riesgo Heladas,15
